+=========================+=======================+====================================================================================================================================================+
| Launch Setup Clock      | Launch Hold Clock     | Pin                                                                                                                                                |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[29]/CE                                                                                                       |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[4]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[2]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[1]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_addr_reg[1]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[24]/CE                                                                                                       |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_addr_reg[3]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[22]/CE                                                                                                       |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[10]/CE                                                                                                       |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[3]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[15]/CE                                                                                                       |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[8]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_addr_reg[0]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[7]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[20]/CE                                                                                                       |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[17]/CE                                                                                                       |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[0]/CE                                                                                                        |
| clk_out2_clk_sys_mmcm   | clk_out2_clk_sys_mmcm | my_ila_jesd_tx/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[1].U_M/allx_typeA_match_detection.ltlib_v1_0_2_allx_typeA_inst/probeDelay1_reg[0]/D |
| clk_out2_clk_sys_mmcm   | clk_out2_clk_sys_mmcm | my_ila_jesd_tx/inst/ila_core_inst/shifted_data_in_reg[7][2]_srl8/D                                                                                 |
| clk_out2_clk_for_glbclk | glblclk_p             | my_ila_jesd_tx/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[4].U_M/allx_typeA_match_detection.ltlib_v1_0_2_allx_typeA_inst/probeDelay1_reg[0]/D |
| clk_out2_clk_for_glbclk | glblclk_p             | u_ad9144_awg_reg_bank/cfg_rdata_reg[4]/D                                                                                                           |
| glblclk_p               | glblclk_p             | my_ila_jesd_tx/inst/ila_core_inst/shifted_data_in_reg[7][5]_srl8/D                                                                                 |
+-------------------------+-----------------------+----------------------------------------------------------------------------------------------------------------------------------------------------+
